waktu,user,tweet
2022-04-01 05:47:19,Satpolgrobogan,Satpol PP kabupaten Grobogan Melakukan Patroli Pengawasan PPKM Level 2 Protokol Kesehatan Pengendalian Covid-19 di… https://t.co/oHBZBIiWUK
2022-04-01 05:44:25,SunardiFauzi,Anggota Koramil 02/Karangmalang Rutin melaks Giat  patroli  dalam rangka  Pelaksanaan *PPKM LEVEL III* membatasi Mo… https://t.co/esuFJSDhct
2022-04-01 05:40:12,SunardiFauzi,Anggota Koramil 18/Kalijambe melaksanakan  patroli gabungan dalam rangka  Pelaksanaan *PPKM LEVEL III* membatasi Mo… https://t.co/tY1aX6ulf9
2022-04-01 05:38:19,tatakujiyati,@Ghafariz1 @Disdik_DKI Bansos Covid 19 maksudnya? Kan diberikan ketika ada larangan keluar rumah via PSBB/PPKM leve… https://t.co/uAw8FyjsgQ
2022-04-01 05:24:33,SektorSepatan,Sepatan - anggota Patroli Polsek Sepatan dipimpin oleh Padal IPTU SRI SUYATNO beserta 5 personil piket fungsi Polse… https://t.co/88AdAEfxmH
2022-04-01 05:21:57,ilusikmu,RT @KerjaHasil_id: Menag Yaqut Cholil Qoumas mengeluarkan surat edaran (SE) Nomor SE.06 Tahun 2022. Surat tersebut berisi tentang pelaksana…
2022-04-01 05:20:09,KODIM_1409,Anggota Koramil 1409-07/Tb.  melaksanakan pemantauan dan Sosialisasi PPKM Skala Mikro untuk pencegahan penyebaran v… https://t.co/wbb3BljLHz
2022-04-01 05:15:29,sughoorn,"@Heefseug gabut, bikin OA yuk biar gak PPKM. https://t.co/ayM0XEzWNR"
2022-04-01 05:13:02,j03y4Iez,"RT @retnosetyow4t: Kapasitas tempat ibadah di kabupaten/kota PPKM level 1 dapat mengadakan kegiatan keagamaan dgn jumlah 100%

#JokowiLawan…"
2022-04-01 05:11:11,randievtama,RT @BapasMuratara: 1. Kanwil Kemenkumham Sumsel: Sekjen Kemenkumham Komjen Pol Andap Budhi Revianto kembali memberikan arahan terkait Perpa…
2022-04-01 05:08:31,detikHealth,"Jabodetabek masih berada di PPKM level 2, kegiatan peribadatan selama bulan Ramadan diperbolehkan dengan maksimal k… https://t.co/vWaWe8arm8"
2022-04-01 05:06:22,adhaumrdni,"@danangmaharsa @PSSleman Neng maguwo nobare dibatalne alesan ppkm, tiba tiba disetujui di tridadi trs apa bedanya ? hehe #sangatberjasa"
2022-04-01 05:05:15,ariefskie,Menteri Agama menyatakan bahwa kapasitas tempat ibadah untuk daerah dengan kondisi PPKM Level 1 bisa 100% https://t.co/clhBcu3Njp
2022-04-01 05:00:52,woro_woroo2,Menteri Agama Yaqut Cholil mengatakan tempat ibadah PPKM Level 1 bisa digunakan 100% dari kapasitas dengan tetap me… https://t.co/XyFFzo1xHY
2022-04-01 04:59:35,kakworo,Menteri Agama Yaqut Cholil mengatakan Kapasitas tempat ibadah PPKM Level 1 bisa 100% dengan tetap menerapkan prokes… https://t.co/nAVWeML8mS
2022-04-01 04:59:21,Nguter02,Anggota Koramil 02 Nguter melaksanakan penegakan disiplin protokoler kesehatan PPKM level III di wilayah Kec Nguter… https://t.co/hlJqSVjTBW
2022-04-01 04:58:59,purpleskyies,@SONGMlNGll lagi ppkm:) https://t.co/5wyGW0I1E3
2022-04-01 04:57:49,sing_ayudewe,"Kapasitas tempat ibadah PPKM Level 1 bisa 100%

@jokowi #IndonesiaMaju https://t.co/zCwqfyN4d4"
2022-04-01 04:57:40,ocin71,"RT @TarunaAdjie1: @msaid_didu @prastow pekerja informal sudah 3 tahun mau mati om gegara PPKM, dibom lagi Migor, PPN 11% pasti semua ikutan…"
2022-04-01 04:55:16,MalangCityExpo,"Kasus Covid-19 Tinggi, Kota Malang PPKM Level 4

https://t.co/jgdeKCMIOO"
2022-04-01 04:53:09,NrdinSanti,Dukung PPKM Mikro dan percepatan Vaksinasi https://t.co/3VFRUzsZ9T
2022-04-01 04:51:37,DiponegoroNe,"Rapat Koordinasi PPKM Mikro Kabupaten Rembang.

#tniad
#kodamIV
#pendam4Dip
#JatengDIY
#Kodim0720
#Rembang https://t.co/G0CpKKCHUT"
2022-04-01 04:51:12,Ramil15andong,Anggota Koramil 15 Andong melaksanakan patroli PPKM di wilayah kecamatan Andong. https://t.co/vXbOQ1PUR8
2022-04-01 04:44:10,Koramil08sbj,Anggota Koramil 12/Gesi melaksanakan patroli PPKM level III  membatasi mobilitas pergerakan masyarakat di wilayah k… https://t.co/Ad9EN1OIDp
2022-04-01 04:43:36,Koramil08sbj,Anggota Koramil 19 Tanon melaksanakan Giat  patroli dalam rangka  Pelaksanaan *PPKM LEVEL III* membatasi Mobilitas… https://t.co/BR5Wairu0P
2022-04-01 04:42:44,Koramil08sbj,Anggota Koramil 19 Tanon melaksanakan Giat  patroli dalam rangka  Pelaksanaan *PPKM LEVEL III* membatasi Mobilitas… https://t.co/ptSFS0wBkK
2022-04-01 04:40:46,sonny_chandra,"@prastow Dari sektor industri, sangat dirugikan dimulai bulan April, dari efek Solar naik..bahan baku naik..kesulit… https://t.co/wFTRhgZUkt"
2022-04-01 04:39:33,Koramil08sbj,Pkl 09.30  WIB  s.d selesai anggota Koramil 02/Karangmalang Rutin melaks Giat  patroli  dalam rangka  Pelaksanaan *… https://t.co/HGzR9IP0qk
2022-04-01 04:37:38,b_insepp,RT @betfordeal: Tanpa ribet! Betfordeal memberikan kemudahan bermain dengan Anti #PPKM alias Pindah Pindah Kredit Melulu. Stay tune and get…
2022-04-01 04:37:31,b_insepp,RT @betfordeal: Keunggulan fitur Seamless Wallet yang dihadirkan oleh Betfordeal membuat Anda nyaman dan aman dalam bermain. Jangan lagi ad…
2022-04-01 04:37:16,b_insepp,RT @betfordeal: Dengan seamless wallet tidak akan ada ribet lagi Pindah Pindah Kredit Melulu saat ingin ganti permainan. Buktikan sendiri d…
2022-04-01 04:37:05,b_insepp,"RT @betfordeal: Menyambut hari weekend dengan merasakan pengalaman baru mencoba fitur unggulan MultiWindows dari Betfordeal, Anti Pindah-Pi…"
2022-04-01 04:35:59,b_insepp,"RT @betfordeal: Mau bergaya seperti artis pakai brand designer? Betfordeal bisa wujudkan impianmu hanya dengan bermain games seru!

Cek dan…"
2022-04-01 04:33:10,Satlantassibol2,Personil Sat Lantas Polres Sibolga melaksanakan Giat PPKM MIKRO serta memberikan himbauan Protokol Kesehatan kepada… https://t.co/6OnAjzfSE0
